Disp,Voltage,Time_step
"-2,01416",50,0
"-2,013611","50,792236","0,000505"
"-2,027069","51,584473","0,00101"
"-2,043335","52,376709","0,001515"
"-2,058594","53,165588","0,00202"
"-2,073822","53,951111","0,002525"
"-2,091339","54,729919","0,00303"
"-2,110779","55,508728","0,003535"
"-2,12677","56,277466","0,00404"
"-2,146057","57,042847","0,004545"
"-2,166931","57,801514","0,005051"
"-2,186432","58,55011","0,005556"
"-2,205383","59,291992","0,006061"
"-2,225983","60,023804","0,006566"
"-2,245087","60,745544","0,007071"
"-2,264435","61,457214","0,007576"
"-2,280914","62,155457","0,008081"
"-2,299866","62,840271","0,008586"
"-2,319946","63,515015","0,009091"
"-2,335419","64,176331","0,009596"
"-2,353027","64,824219","0,010101"
"-2,370697","65,455322","0,010606"
"-2,389801","66,069641","0,011111"
"-2,405701","66,670532","0,011616"
"-2,421143","67,251282","0,012121"
"-2,437134","67,818604","0,012626"
"-2,451508","68,365784","0,013131"
"-2,468719","68,892822","0,013636"
"-2,482788","69,403076","0,014141"
"-2,496979","69,893188","0,014646"
"-2,515259","70,363159","0,015152"
"-2,526886","70,812988","0,015657"
"-2,541595","71,242676","0,016162"
"-2,555786","71,652222","0,016667"
"-2,562866","72,034912","0,017172"
"-2,575287","72,400818","0,017677"
"-2,584808","72,739868","0,018182"
"-2,594208","73,058777","0,018687"
"-2,607056","73,354187","0,019192"
"-2,613495","73,626099","0,019697"
"-2,619141","73,871155","0,020202"
"-2,627563","74,096069","0,020707"
"-2,63208","74,294128","0,021212"
"-2,640991","74,468689","0,021717"
"-2,645294","74,619751","0,022222"
"-2,651031","74,743958","0,022727"
"-2,656433","74,844666","0,023232"
"-2,659943","74,921875","0,023737"
"-2,664276","74,972229","0,024242"
"-2,667542","74,995728","0,024747"
"-2,665405","74,995728","0,025253"
"-2,668488","74,972229","0,025758"
"-2,665436","74,921875","0,026263"
"-2,665344","74,844666","0,026768"
"-2,66861","74,743958","0,027273"
"-2,664093","74,619751","0,027778"
"-2,660156","74,468689","0,028283"
"-2,656128","74,294128","0,028788"
"-2,653656","74,096069","0,029293"
"-2,650024","73,871155","0,029798"
"-2,647095","73,626099","0,030303"
"-2,642456","73,354187","0,030808"
"-2,638794","73,058777","0,031313"
"-2,633698","72,739868","0,031818"
"-2,625916","72,400818","0,032323"
"-2,622131","72,034912","0,032828"
"-2,613861","71,652222","0,033333"
"-2,604553","71,242676","0,033838"
"-2,594818","70,812988","0,034343"
"-2,584778","70,363159","0,034848"
"-2,579346","69,893188","0,035354"
"-2,565399","69,403076","0,035859"
"-2,554596","68,892822","0,036364"
"-2,543518","68,365784","0,036869"
"-2,535553","67,818604","0,037374"
"-2,522827","67,251282","0,037879"
"-2,511963","66,670532","0,038384"
"-2,501404","66,069641","0,038889"
"-2,486725","65,455322","0,039394"
"-2,477081","64,824219","0,039899"
"-2,463654","64,176331","0,040404"
"-2,448456","63,515015","0,040909"
"-2,435242","62,840271","0,041414"
"-2,417969","62,155457","0,041919"
"-2,404388","61,457214","0,042424"
"-2,389923","60,745544","0,042929"
"-2,372681","60,023804","0,043434"
"-2,354736","59,291992","0,043939"
"-2,339691","58,55011","0,044444"
"-2,317993","57,801514","0,044949"
"-2,303162","57,042847","0,045455"
"-2,283844","56,277466","0,04596"
"-2,266663","55,508728","0,046465"
"-2,251617","54,729919","0,04697"
"-2,234039","53,951111","0,047475"
"-2,213531","53,165588","0,04798"
"-2,196991","52,376709","0,048485"
"-2,178009","51,584473","0,04899"
"-2,159485","50,792236","0,049495"
"-2,143188",50,"0,05"
"-2,119965","49,207764","0,050505"
"-2,103851","48,415527","0,05101"
"-2,081543","47,623291","0,051515"
"-2,06308","46,834412","0,05202"
"-2,044403","46,048889","0,052525"
"-2,020538","45,270081","0,05303"
"-2,003418","44,491272","0,053535"
"-1,985535","43,722534","0,05404"
"-1,965515","42,957153","0,054545"
"-1,946686","42,198486","0,05505"
"-1,92926","41,44989","0,055556"
"-1,909668","40,708008","0,056061"
"-1,892365","39,976196","0,056566"
"-1,875366","39,254456","0,057071"
"-1,8573","38,542786","0,057576"
"-1,838379","37,844543","0,058081"
"-1,821564","37,159729","0,058586"
"-1,803162","36,484985","0,059091"
"-1,785339","35,823669","0,059596"
"-1,767395","35,175781","0,060101"
"-1,750702","34,544678","0,060606"
"-1,731781","33,930359","0,061111"
"-1,717346","33,329468","0,061616"
"-1,698975","32,748718","0,062121"
"-1,683563","32,181396","0,062626"
"-1,670135","31,634216","0,063131"
"-1,655823","31,107178","0,063636"
"-1,645477","30,596924","0,064141"
"-1,629211","30,106812","0,064646"
"-1,619873","29,636841","0,065151"
"-1,606384","29,187012","0,065657"
"-1,593628","28,757324","0,066162"
"-1,583252","28,347778","0,066667"
"-1,57251","27,965088","0,067172"
"-1,561005","27,599182","0,067677"
"-1,55072","27,260132","0,068182"
"-1,541626","26,941223","0,068687"
"-1,531036","26,645813","0,069192"
"-1,522675","26,373901","0,069697"
"-1,516174","26,128845","0,070202"
"-1,50769","25,903931","0,070707"
"-1,499207","25,705872","0,071212"
"-1,496552","25,531311","0,071717"
"-1,492737","25,380249","0,072222"
"-1,48764","25,256042","0,072727"
"-1,482056","25,155334","0,073232"
"-1,481598","25,078125","0,073737"
"-1,479767","25,027771","0,074242"
"-1,4776","25,004272","0,074747"
"-1,473846","25,004272","0,075252"
"-1,473053","25,027771","0,075758"
"-1,472473","25,078125","0,076263"
"-1,474426","25,155334","0,076768"
"-1,475189","25,256042","0,077273"
"-1,475067","25,380249","0,077778"
"-1,476624","25,531311","0,078283"
"-1,477356","25,705872","0,078788"
"-1,479126","25,903931","0,079293"
"-1,486176","26,128845","0,079798"
"-1,490875","26,373901","0,080303"
"-1,495239","26,645813","0,080808"
"-1,50119","26,941223","0,081313"
"-1,504303","27,260132","0,081818"
"-1,511688","27,599182","0,082323"
"-1,522217","27,965088","0,082828"
"-1,526428","28,347778","0,083333"
"-1,531799","28,757324","0,083838"
"-1,54007","29,187012","0,084343"
"-1,545349","29,636841","0,084848"
"-1,555725","30,106812","0,085353"
"-1,564667","30,596924","0,085859"
"-1,574463","31,107178","0,086364"
"-1,579407","31,634216","0,086869"
"-1,594971","32,181396","0,087374"
"-1,600708","32,748718","0,087879"
"-1,616028","33,329468","0,088384"
"-1,630707","33,930359","0,088889"
"-1,640533","34,544678","0,089394"
"-1,651215","35,175781","0,089899"
"-1,665009","35,823669","0,090404"
"-1,682892","36,484985","0,090909"
"-1,696442","37,159729","0,091414"
"-1,707886","37,844543","0,091919"
"-1,722229","38,542786","0,092424"
"-1,73526","39,254456","0,092929"
"-1,751007","39,976196","0,093434"
"-1,766479","40,708008","0,093939"
"-1,785309","41,44989","0,094444"
"-1,797424","42,198486","0,094949"
"-1,81366","42,957153","0,095454"
